0.005,237.1
0.01,179.3
0.015,103.9
0.02,162.3
0.025,113.9
0.03,62.1
0.035,57.4
0.04,53.9
0.045,68.2
0.05,63.1
0.055,67.0
0.06,46.8
0.065,46.3
0.07,48.6
0.075,53.2
0.08,51.3
0.085,213.2
0.09,58.6
0.095,53.5
0.1,54.0
0.105,57.7
0.11,54.0
0.115,57.9
0.12,48.5
0.125,42.5
0.13,38.5
0.135,36.0
0.14,41.6
0.145,42.1
0.15,38.6
0.155,39.5
0.16,41.4
0.165,47.2
0.17,50.2
0.175,48.1
0.18,45.2
0.185,46.1
0.19,38.9
0.195,41.2
0.2,47.1
0.205,43.4
0.21,45.9
0.215,39.3
0.22,45.4
0.225,38.5
0.23,38.4
0.235,37.4
0.24,38.0
0.245,41.8
0.25,26.7
0.255,23.6
0.26,26.7
0.265,23.0
0.27,24.7
0.275,25.5
0.28,23.1
0.285,25.5
0.29,26.2
0.295,24.7
0.3,25.4
0.305,27.6
0.31,26.2
0.315,29.4
0.32,24.7
0.325,25.4
0.33,25.3
0.335,23.2
0.34,24.7
0.345,25.4
0.35,24.5
0.355,22.4
0.36,27.6
0.365,25.5
0.37,24.6
0.375,23.3
0.38,27.6
0.385,24.1
0.39,22.9
0.395,25.7
0.4,27.4
0.405,21.7
0.41,24.0
0.415,24.5
0.42,28.8
0.425,25.9
0.43,24.6
0.435,20.9
0.44,27.9
0.445,24.3
0.45,22.5
0.455,23.2
0.46,23.8
0.465,24.6
0.47,25.2
0.475,26.7
0.48,24.5
0.485,27.7
0.49,26.1
0.495,25.7
0.5,14.3
0.505,14.2
0.51,20.1
0.515,16.0
0.52,18.2
0.525,15.8
0.53,17.6
0.535,18.2
0.54,19.5
0.545,17.3
